case_id,material,energy_mev,thickness_mm,plane,tree_entries,primary_entries_raw,primary_unique_events,duplicate_primary_events,finite,position_z_mean_mm,position_z_std_mm,position_z_expected_mm,position_z_max_abs_error_mm,root_bytes
aluminium_e180_t0050,Aluminium,180.0,50.0,in,99476,99427,99427,0,True,-25.499999499999998,3.552713678800501e-15,-25.5,4.999999987376214e-07,2828956
aluminium_e180_t0050,Aluminium,180.0,50.0,out,90324,87847,87847,0,True,25.5000005,0.0,25.5,4.999999987376214e-07,5293162
air_e180_t0020,Air,180.0,20.0,in,100384,100383,100383,0,True,-10.499999500000003,3.552713678800501e-15,-10.5,5.000000005139782e-07,2845626
air_e180_t0020,Air,180.0,20.0,out,100381,100380,100380,0,True,10.500000499999999,1.7763568394002505e-15,10.5,5.000000005139782e-07,5552063
air_e180_t0220,Air,180.0,220.0,in,100031,100030,100030,0,True,-110.49999950000007,7.105427357601002e-14,-110.5,4.999999987376214e-07,2833987
air_e180_t0220,Air,180.0,220.0,out,100006,99997,99997,0,True,110.50000049999991,8.526512829121202e-14,110.5,4.999999987376214e-07,5626801
air_e180_t1000,Air,180.0,1000.0,in,99774,99774,99774,0,True,-500.4999994999999,1.1368683772161603e-13,-500.5,4.999999987376214e-07,2831347
air_e180_t1000,Air,180.0,1000.0,out,99508,99503,99503,0,True,500.50000050000006,5.684341886080802e-14,500.5,4.999999987376214e-07,5658955
air_e180_t2000,Air,180.0,2000.0,in,99595,99595,99595,0,True,-1000.4999995000001,1.1368683772161603e-13,-1000.5,5.000000555810402e-07,2826280
air_e180_t2000,Air,180.0,2000.0,out,97880,97867,97867,0,True,1000.5000005000002,1.1368683772161603e-13,1000.5,5.000000555810402e-07,5583168
water_e200_t0005,Water,200.0,5.0,in,99812,99772,99772,0,True,-2.9999995000000013,1.3322676295501878e-15,-3.0,5.00000000069889e-07,2836867
water_e200_t0005,Water,200.0,5.0,out,99864,99279,99279,0,True,3.000000499999999,8.881784197001252e-16,3.0,5.00000000069889e-07,5707868
water_e200_t0010,Water,200.0,10.0,in,100513,100471,100471,0,True,-5.4999995,0.0,-5.5,4.999999996257998e-07,2853692
water_e200_t0010,Water,200.0,10.0,out,100432,99536,99536,0,True,5.500000500000001,1.7763568394002505e-15,5.5,4.999999996257998e-07,5751583
water_e200_t0020,Water,200.0,20.0,in,99495,99448,99448,0,True,-10.4999995,0.0,-10.5,5.000000005139782e-07,2828961
water_e200_t0020,Water,200.0,20.0,out,99007,97503,97503,0,True,10.5000005,0.0,10.5,5.000000005139782e-07,5701818
water_e200_t0050,Water,200.0,50.0,in,100045,99992,99992,0,True,-25.4999995,0.0,-25.5,4.999999987376214e-07,2840244
water_e200_t0050,Water,200.0,50.0,out,97177,95087,95087,0,True,25.500000500000006,7.105427357601002e-15,25.5,4.999999987376214e-07,5638085
