epoch,kind,weight,iterations,huber_delta,primal_step,dual_step,l2_change,max_abs_change,regularization_value_before,regularization_value_after,elapsed_seconds
1,huber_tv,0.0125,100,0.002,0.25,0.25,13.601408958435059,0.0424199104309082,886.8106502122217,668.5812538944418,0.5351589580022846
2,huber_tv,0.0125,100,0.002,0.25,0.25,11.23987865447998,0.04126155376434326,668.6698694344736,532.0669826244447,0.5177250859997002
3,huber_tv,0.0125,100,0.002,0.25,0.25,9.943170547485352,0.038280606269836426,533.32628094272,427.6247334582302,0.5171457350006676
4,huber_tv,0.0125,100,0.002,0.25,0.25,8.922557830810547,0.032474398612976074,429.3690401437009,344.233019887766,0.5152526919991942
5,huber_tv,0.0125,100,0.002,0.25,0.25,8.025772094726562,0.028576910495758057,346.16292587041926,277.01182834809106,0.5123832530007348
