epoch,kind,weight,iterations,huber_delta,primal_step,dual_step,l2_change,max_abs_change,regularization_value_before,regularization_value_after,elapsed_seconds
1,huber_tv,0.0125,100,0.002,0.25,0.25,15.065389633178711,0.04263490438461304,1812.0601991437086,1554.4270799149017,0.5460980460002247
2,huber_tv,0.0125,100,0.002,0.25,0.25,12.590229988098145,0.04149508476257324,1543.9887481972755,1373.5565307636552,0.5194224819997544
3,huber_tv,0.0125,100,0.002,0.25,0.25,11.252447128295898,0.03703343868255615,1365.9686747298997,1232.4987587128544,0.5172026059990458
