epoch,subset,relaxation,pairs,measurements,residual_rmse_mm,update_l2,update_max_abs,image_min,image_max,elapsed_seconds
1,0,0.25,1048241,898715,3.2108202422340657,2.899670124053955,0.18253837525844574,0.0,2.469411611557007,18.070952890000626
1,1,0.25,1048424,899233,3.1731849312810985,2.3977880477905273,0.4006786346435547,0.0,2.470982789993286,18.038352509000106
1,2,0.25,1050140,900184,3.1514367636342153,2.07149076461792,0.20590245723724365,0.0,2.4722771644592285,18.045691547999013
1,3,0.25,1049996,900057,3.134946002607782,2.0721044540405273,0.7231322526931763,0.0,2.4730448722839355,18.04722701299943
1,4,0.25,1052038,901957,3.1239236867725433,1.7187044620513916,0.3578464984893799,0.0,2.473858594894409,18.07982309200088
1,5,0.25,1047226,897693,3.1182131198974394,1.5793788433074951,0.20906011760234833,0.0,2.474339485168457,18.065526608001164
1,6,0.25,1049826,899780,3.1168794266664537,1.5530341863632202,0.26485902070999146,0.0,2.47516131401062,18.09796709299917
1,7,0.25,1049057,899687,3.1151387977914116,1.4710510969161987,0.23617379367351532,0.0,2.4758293628692627,18.02330595500098
1,8,0.25,1050310,900717,3.1155861743658457,1.4786901473999023,0.38037949800491333,0.0,2.4762086868286133,18.047825155999817
1,9,0.25,1050200,900524,3.1084108301865574,1.3656342029571533,0.3139857351779938,0.0,2.4769740104675293,18.054399062999437
1,10,0.25,1050582,901609,3.0990178670450628,1.5038926601409912,0.602027416229248,0.0,2.4772603511810303,18.011086538999734
1,11,0.25,1048752,899291,3.095412094510812,1.4698467254638672,0.5598161816596985,0.0,2.4778056144714355,18.038615501000095
1,12,0.25,1047126,897964,3.103168489861239,1.3113479614257812,0.4130133390426636,0.0,2.4776949882507324,18.0447080670001
1,13,0.25,1048522,898099,3.0959134118156864,1.2385096549987793,0.25820159912109375,0.0,2.4778218269348145,18.071274448999247
1,14,0.25,1046998,897735,3.094283359837915,1.2445518970489502,0.2452070415019989,0.0,2.477398633956909,18.05510522199984
1,15,0.25,1049485,900068,3.089958032873907,2.135986804962158,1.6789194345474243,0.0,2.4781460762023926,18.01103620699905
