epoch,kind,weight,iterations,huber_delta,primal_step,dual_step,l2_change,max_abs_change,regularization_value_before,regularization_value_after,elapsed_seconds
1,huber_tv,0.0125,100,0.002,0.25,0.25,15.333290100097656,0.042618751525878906,2000.0825266418358,1734.7921117600295,0.5288686920011969
2,huber_tv,0.0125,100,0.002,0.25,0.25,12.885656356811523,0.04242682456970215,1725.8142787140384,1547.5208862289765,0.5176754749991233
3,huber_tv,0.0125,100,0.002,0.25,0.25,11.56729507446289,0.03893643617630005,1541.0790576249838,1400.1241585691332,0.5127935460004664
