epoch,kind,weight,iterations,huber_delta,primal_step,dual_step,l2_change,max_abs_change,regularization_value_before,regularization_value_after,elapsed_seconds
1,huber_tv,0.0125,100,0.002,0.25,0.25,15.723124504089355,0.042622923851013184,2284.2898576788352,2007.3722976375714,0.5320114209999929
2,huber_tv,0.0125,100,0.002,0.25,0.25,13.328734397888184,0.04251730442047119,1998.01798176262,1807.5776720186748,0.504254350999986
3,huber_tv,0.0125,100,0.002,0.25,0.25,12.038500785827637,0.04013359546661377,1801.3723576044636,1648.6962188537805,0.5049256739999919
4,huber_tv,0.0125,100,0.002,0.25,0.25,11.169295310974121,0.03629124164581299,1644.400603238721,1513.8773568074275,0.5053501529998812
5,huber_tv,0.0125,100,0.002,0.25,0.25,10.494207382202148,0.03567010164260864,1510.8191306711178,1395.936453937423,0.5033992880000824
