label,mode,seed,candidate,best_epoch,validation_ideal_rmse_mm,validation_ideal_abs_p99_mm,image_path,finite_fraction,image_min,image_max,water_mean,water_std,water_rmse_vs_1,water_mae_vs_1,outside_mean,outside_std,outside_rmse_vs_0,phantom_rmse_vs_red_truth,phantom_mae_vs_red_truth,phantom_rmse_vs_rsp_truth,phantom_mae_vs_rsp_truth,aluminium_voxel_rmse_vs_red_truth,aluminium_voxel_rmse_vs_rsp_truth,aluminium_excess_red_recovery,aluminium_excess_rsp_recovery,insert_peak_mean,insert_contrast_mean,insert_cnr_median,insert_roi_cnr_median,insert_roi_red_recovery_mean,insert_roi_rsp_recovery_mean,insert_contrast_centroid_offset_mean_mm,insert_contrast_centroid_offset_max_mm,insert_peak_offset_mean_mm,insert_peak_offset_max_mm,aluminium_edge_10_90_median_mm
continuous,source,20260713,equal_quadratic,3,2.7681740537833908,7.54443359375,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7b/screen/continuous/seed_20260713/equal_quadratic/recon/epoch_03.mhd,1.0,0.0,2.4562559127807617,1.0000627040863037,0.11291645467281342,0.11291647087176583,0.08215557038784027,0.0,0.0,0.0,0.14150014428529836,0.09647123515605927,0.13117753401422935,0.09316862374544144,0.5506422511707413,0.36140734390357154,0.6209067657083229,0.74535255167104,2.2212444305419923,1.2216158890724182,15.623016659060758,11.520648937127152,0.692114385486143,0.8308320095572994,0.06353678733014684,0.5403701610739916,0.7125560825415626,1.189415643704275,1.6965827062194876
position_0p2mm,source,20260713,equal_quadratic,3,3.803067905554789,11.990772666931115,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7b/screen/position_0p2mm/seed_20260713/equal_quadratic/recon/epoch_03.mhd,1.0,0.0,2.4225826263427734,1.0008172988891602,0.11306636780500412,0.1130693246479863,0.08238723874092102,0.0,0.0,0.0,0.14316917866554948,0.09731712192296982,0.13250339911453965,0.09397536516189575,0.5664152291396432,0.3748842991423586,0.6073574330803054,0.7290875821047773,2.2057544803619384,1.205045886039734,15.409345053214455,11.275716608651408,0.6768235921058775,0.812476545694302,0.06574897992197246,0.5406637305569347,0.7070161291477827,1.189415643704275,1.7324656252741244
energy_1pct,source,20260713,equal_quadratic,3,2.7639255729881422,7.524169921875,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7b/screen/energy_1pct/seed_20260713/equal_quadratic/recon/epoch_03.mhd,1.0,0.0,2.4557180404663086,0.9999927282333374,0.11292297393083572,0.11292297796942685,0.08215456455945969,0.0,0.0,0.0,0.14157934045337284,0.09650249034166336,0.13125760670275724,0.09319915622472763,0.5508104948141086,0.3615445132178401,0.6207518829392092,0.7451666263863685,2.2209484481811526,1.2213584089279175,15.612634064848466,11.518860069190385,0.6919802904555595,0.8306710384142808,0.06341419465343605,0.5405101038202516,0.7158364376963702,1.189415643704275,1.6970910929337866
combined_0p2mm_1pct,source,20260713,equal_quadratic,3,3.737566630867142,11.52629756927487,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7b/screen/combined_0p2mm_1pct/seed_20260713/equal_quadratic/recon/epoch_03.mhd,1.0,0.0,2.417738437652588,1.0003149509429932,0.11309937387704849,0.11309980569159253,0.08236291259527206,0.0,0.0,0.0,0.1429873005710734,0.09714506566524506,0.13229339364487644,0.09380103647708893,0.56681913313086,0.3752032413160271,0.6069718235641628,0.7286246864613747,2.2053287982940675,1.204977991580963,15.403642864268111,11.269656004308752,0.676630089794276,0.8122442605146076,0.06437808027895828,0.540678230726894,0.7156209049033957,1.189415643704275,1.7377097794211507
