label,mode,seed,candidate,best_epoch,validation_ideal_rmse_mm,validation_ideal_abs_p99_mm,image_path,finite_fraction,image_min,image_max,water_mean,water_std,water_rmse_vs_1,water_mae_vs_1,outside_mean,outside_std,outside_rmse_vs_0,phantom_rmse_vs_red_truth,phantom_mae_vs_red_truth,phantom_rmse_vs_rsp_truth,phantom_mae_vs_rsp_truth,aluminium_voxel_rmse_vs_red_truth,aluminium_voxel_rmse_vs_rsp_truth,aluminium_excess_red_recovery,aluminium_excess_rsp_recovery,insert_peak_mean,insert_contrast_mean,insert_cnr_median,insert_roi_cnr_median,insert_roi_red_recovery_mean,insert_roi_rsp_recovery_mean,insert_contrast_centroid_offset_mean_mm,insert_contrast_centroid_offset_max_mm,insert_peak_offset_mean_mm,insert_peak_offset_max_mm,aluminium_edge_10_90_median_mm,rmse_improvement,p99_improvement,aluminium_error_degradation_pp,edge_width_degradation,eligible
combined_0p2mm_1pct,source,20260713,equal_quadratic,3,3.737566630867142,11.52629756927487,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7b/screen/combined_0p2mm_1pct/seed_20260713/equal_quadratic/recon/epoch_03.mhd,1.0,0.0,2.417738437652588,1.0003149509429932,0.11309937387704849,0.11309980569159253,0.08236291259527206,0.0,0.0,0.0,0.1429873005710734,0.09714506566524506,0.13229339364487644,0.09380103647708893,0.56681913313086,0.3752032413160271,0.6069718235641628,0.7286246864613747,2.2053287982940675,1.204977991580963,15.403642864268111,11.269656004308752,0.676630089794276,0.8122442605146076,0.06437808027895828,0.540678230726894,0.7156209049033957,1.189415643704275,1.7377097794211507,0.0,0.0,0.0,0.0,True
analytic_invvar,candidate,20260713,analytic_invvar,3,3.8074503060719627,12.148205261230459,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7b/screen/combined_0p2mm_1pct/seed_20260713/analytic_invvar/recon/epoch_03.mhd,1.0,0.0,2.4021172523498535,1.005281925201416,0.11101631820201874,0.11114190052035443,0.0816688984632492,0.0,0.0,0.0,0.14253103862412292,0.09707329422235489,0.13186790254043165,0.09372766315937042,0.5639501826711284,0.37232950626370614,0.6090031407966165,0.7310631322411296,2.204735727310181,1.2000187397003175,15.446816266407938,11.322565541567974,0.674797862396223,0.8100448073562672,0.06746283284002924,0.535993409076799,0.7117086007147957,1.189415643704275,1.75143870931008,-0.018697639963841217,-0.05395554714927542,-0.028315483901875105,0.007900588493840788,False
empirical_invvar,candidate,20260713,empirical_invvar,3,3.811788009754017,12.18838676452635,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7b/screen/combined_0p2mm_1pct/seed_20260713/empirical_invvar/recon/epoch_03.mhd,1.0,0.0,2.4025490283966064,1.0053685903549194,0.11101515591144562,0.1111448927725234,0.08168136328458786,0.0,0.0,0.0,0.14265329243024294,0.0971624106168747,0.13200584478748612,0.09381716698408127,0.5637710588421871,0.3721845622513989,0.609170085943543,0.7312635375163223,2.205044984817505,1.2002602910995483,15.449327115095443,11.324189295409486,0.67493700713444,0.8102118402989374,0.06762613425808946,0.5363125463734854,0.7117086007147957,1.189415643704275,1.7508315303085635,-0.019858208887544304,-0.05744161915586665,-0.013550344132617909,0.007551175140295241,False
huber_z1p5,candidate,20260713,huber_z1p5,3,3.760750030018369,11.750422592163083,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7b/screen/combined_0p2mm_1pct/seed_20260713/huber_z1p5/recon/epoch_03.mhd,1.0,0.0,2.4347939491271973,1.0008745193481445,0.11479606479406357,0.11479939215744907,0.08366928994655609,0.0,0.0,0.0,0.1448686340437443,0.0986732766032219,0.13432197557286474,0.09533543139696121,0.5674865906500925,0.3761536065272757,0.6068449317512772,0.7284723622450127,2.207855806350708,1.2077531695365906,15.19008042602596,11.103217133607622,0.6770403638962402,0.8127367641581561,0.06900976536267767,0.5425324606992382,0.7199785841413632,1.189415643704275,1.7350501521330013,-0.006202805579374582,-0.01944466742604778,0.12064905869912934,-0.0015305359500452642,False
huber_z2p5,candidate,20260713,huber_z2p5,3,3.7491958224142743,11.630699234008766,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7b/screen/combined_0p2mm_1pct/seed_20260713/huber_z2p5/recon/epoch_03.mhd,1.0,0.0,2.430286169052124,1.0002288818359375,0.11430461704730988,0.1143048476219556,0.0832369327545166,0.0,0.0,0.0,0.1441235646129483,0.09805889427661896,0.1335134295372455,0.09471935033798218,0.5675227620766492,0.3761072720566663,0.6067078990642426,0.7283078646608592,2.2070576477050783,1.2074812531471253,15.25058724372264,11.151499494949025,0.6773088627971711,0.8130590771834337,0.06750017015970684,0.5426507972697072,0.714479650418498,1.189415643704275,1.7355500624801028,-0.003111433907583505,-0.009057692993472033,0.08254190307106501,-0.00124285249851519,False
empirical_huber_z2p5,candidate,20260713,empirical_huber_z2p5,3,3.8248443340136586,12.314815979003896,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7b/screen/combined_0p2mm_1pct/seed_20260713/empirical_huber_z2p5/recon/epoch_03.mhd,1.0,0.0,2.412076234817505,1.0051546096801758,0.11306890845298767,0.11318634245363325,0.0831129252910614,0.0,0.0,0.0,0.14469500912923158,0.09874547272920609,0.1341988260089118,0.09540430456399918,0.564840114065053,0.37356385714913604,0.6087928243710893,0.7308106629605828,2.2081578159332276,1.204181752204895,15.277143434144998,11.182875769348946,0.6756289431010646,0.8110424581298784,0.06991686353415644,0.5400153360391929,0.7199785841413632,1.189415643704275,1.7501131365077844,-0.023351477516339925,-0.06841038112975184,0.1350681547338306,0.007137760996410725,False
