epoch,kind,weight,iterations,huber_delta,primal_step,dual_step,l2_change,max_abs_change,regularization_value_before,regularization_value_after,elapsed_seconds
1,huber_tv,0.0125,100,0.002,0.25,0.25,13.623743057250977,0.042112112045288086,886.0552408775147,666.8337246558781,0.545993317002285
2,huber_tv,0.0125,100,0.002,0.25,0.25,11.29470157623291,0.04125368595123291,669.1397811697597,529.6447747315199,0.5178528590004134
3,huber_tv,0.0125,100,0.002,0.25,0.25,10.01198959350586,0.03868526220321655,534.1692013683296,424.9433097855111,0.5151655430017854
4,huber_tv,0.0125,100,0.002,0.25,0.25,8.994909286499023,0.03210854530334473,430.219699844532,341.52999954929965,0.5206392860018241
5,huber_tv,0.0125,100,0.002,0.25,0.25,8.095603942871094,0.02772587537765503,346.9550348835454,274.4690176602435,0.5180610719980905
